old_value,new_value,x
Abbeville, AL,Abbeville, AL,
Abbeville, AL,Abbeville, AL,
Abbeville, LA,Abbeville, LA,
Abbeville, LA,Abbeville, LA,
Abbeville, LA,Abbeville, LA,
Abbeville, LA,Abbeville, LA,
Abbeville, SC,Abbeville, SC,
Abbotsford, WI,Abbotsford, WI,
Aberdeen, MD,Aberdeen, MD,
Aberdeen, MD,Aberdeen, MD,
Aberdeen, MD,Aberdeen, MD,
Aberdeen, MS,Aberdeen, MS,
Aberdeen, MS,Aberdeen, MS,
Aberdeen, MS,Aberdeen, MS,
Aberdeen, MS,Aberdeen, MS,
Aberdeen, MS,Aberdeen, MS,
Aberdeen, MS,Aberdeen, MS,
Aberdeen, MS,Aberdeen, MS,
Aberdeen, MS,Aberdeen, MS,
Aberdeen, SD,Aberdeen, SD,
Aberdeen, SD,Aberdeen, SD,
Aberdeen, SD,Aberdeen, SD,
Aberdeen, WA,Aberdeen, WA,
Aberdeen, WA,Aberdeen, WA,
Aberdeen, WA,Aberdeen, WA,
Aberdeen, WA,Aberdeen, WA,
Abilene, TX,Abilene, TX,
Abilene, TX,Abilene, TX,
Abilene, TX,Abilene, TX,
Abilene, TX,Abilene, TX,
Abilene, TX,Abilene, TX,
Abilene, TX,Abilene, TX,
Abilene, TX,Abilene, TX,
Abilene, TX,Abilene, TX,
Abilene, TX,Abilene, TX,
Abilene, TX,Abilene, TX,
Abilene, TX,Abilene, TX,
Abilene, TX,Abilene, TX,
Abilene, TX,Abilene, TX,
Abilene, TX,Abilene, TX,
Abilene, TX,Abilene, TX,
Abilene, TX,Abilene, TX,
Abingdon, VA,Abingdon, VA,
Abington, MA,Abington, MA,
Abington, PA,Abington, PA,
Abington, PA,Abington, PA,
Abington, PA,Abington, PA,
Abington, PA,Abington, PA,
Abington, PA,Abington, PA,
Abington, PA,Abington, PA,
Abington, PA,Abington, PA,
Abington, PA,Abington, PA,
Abington, PA,Abington, PA,
Abington, PA,Abington, PA,
Abington, PA,Abington, PA,
Abington, PA,Abington, PA,
Abington, PA,Abington, PA,
Abington, PA,Abington, PA,
Abita Springs, LA,Abita Springs, LA,
Acampo, CA,Acampo, CA,
Accokeek, MD,Accokeek, MD,
Accokeek, MD,Accokeek, MD,
Acworth, GA,Acworth, GA,
Ada, OK,Ada, OK,
Ada, OK,Ada, OK,
Ada, OK,Ada, OK,
Ada, OK,Ada, OK,
Ada, OK,Ada, OK,
Ada, OK,Ada, OK,
Ada, OK,Ada, OK,
Ada, OK,Ada, OK,
Ada, OK,Ada, OK,
Adairsville, GA,Adairsville, GA,
Adams, MA,Adams, MA,
Adams, NE,Adams, NE,
Adamsville, RI,Adamsville, RI,
Addison, IL,Addison, IL,
Addy, WA,Addy, WA,
Adel, GA,Adel, GA,
Adena, OH,Adena, OH,
Adrian, MI,Adrian, MI,
Adrian, MI,Adrian, MI,
Adrian, MI,Adrian, MI,
Adrian, MI,Adrian, MI,
Adrian, MI,Adrian, MI,
Adrian, MO,Adrian, MO,
Adrian, MO,Adrian, MO,
Advance, NC,Advance, NC,
Afton, TX,Afton, TX,
Afton, WY,Afton, WY,
Agawam, MA,Agawam, MA,
Agoura Hills, CA,Agoura Hills, CA,
Agua Dulce, CA,Santa Clarita, CA,x
Ahoskie, NC,Ahoskie, NC,
Ahoskie, NC,Ahoskie, NC,
Ahoskie, NC,Ahoskie, NC,
Ahoskie, NC,Ahoskie, NC,
Ahoskie, NC,Ahoskie, NC,
Ahoskie, NC,Ahoskie, NC,
Ahoskie, NC,Ahoskie, NC,
Ahoskie, NC,Ahoskie, NC,
Ahsahka, ID,Ahsahka, ID,
Aiken, SC,Aiken, SC,
Aiken, SC,Aiken, SC,
Aiken, SC,Aiken, SC,
Aiken, SC,Aiken, SC,
Aiken, SC,Aiken, SC,
Aiken, SC,Aiken, SC,
Aiken, SC,Aiken, SC,
Aiken, SC,Aiken, SC,
Aiken, SC,Aiken, SC,
Aiken, SC,Aiken, SC,
Aiken, SC,Aiken, SC,
Akron, AL,Akron, AL,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Akron, OH,Akron, OH,
Alabaster, AL,Alabaster, AL,
Alachua, FL,Alachua, FL,
Alameda, CA,Alameda, CA,
Alameda, CA,Alameda, CA,
Alameda, CA,Alameda, CA,
Alameda, CA,Alameda, CA,
Alameda, CA,Alameda, CA,
Alameda, CA,Alameda, CA,
Alameda, CA,Alameda, CA,
Alameda, CA,Alameda, CA,
Alameda, CA,Alameda, CA,
Alameda, CA,Alameda, CA,
Alamo, CA,Alamo, CA,
Alamogordo, NM,Alamogordo, NM,
Alamogordo, NM,Alamogordo, NM,
Alamogordo, NM,Alamogordo, NM,
Albany, CA,Albany, CA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, GA,Albany, GA,
Albany, NY,Albany, NY,
Albany, NY,Albany, NY,
Albany, NY,Albany, NY,
Albany, NY,Albany, NY,
Albany, NY,Albany, NY,
Albany, NY,Albany, NY,
Albany, NY,Albany, NY,
Albany, NY,Albany, NY,
Albany, NY,Albany, NY,
Albany, NY,Albany, NY,
Albany, NY,Albany, NY,
Albany, NY,Albany, NY,
Albany, NY,Albany, NY,
Albany, NY,Albany, NY,
Albany, NY,Albany, NY,
Albany, TX,Albany, TX,
Albany, TX,Albany, TX,
Albany, TX,Albany, TX,
Albemarle, NC,Albemarle, NC,
Albemarle, NC,Albemarle, NC,
Albert Lea, MN,Albert Lea, MN,
Albertville, AL,Albertville, AL,
Albertville, AL,Albertville, AL,
Albia, IA,Albia, IA,
Albion, MI,Albion, MI,
Albion, NY,Albion, NY,
Albion, NY,Albion, NY,
Albuquerque, NM,Albuquerque, NM,
Albuquerque, NM,Albuquerque, NM,
Albuquerque, NM,Albuquerque, NM,
Albuquerque, NM,Albuquerque, NM,
Albuquerque, NM,Albuquerque, NM,
Albuquerque, NM,Albuquerque, NM,
Albuquerque, NM,Albuquerque, NM,
Albuquerque, NM,Albuquerque, NM,
Albuquerque, NM,Albuquerque, NM,
Albuquerque, NM,Albuquerque, NM,
Albuquerque, NM,Albuquerque, NM,
Albuquerque, NM,Albuquerque, NM,
Albuquerque, NM,Albuquerque, NM,
Albuquerque, NM,Albuquerque, NM,
Albuquerque, NM,Albuquerque, NM,
Albuquerque, NM,Albuquerque, NM,
Albuquerque, NM,Albuquerque, NM,
Albuquerque, NM,Albuquerque, NM,
Alcoa, TN,Alcoa, TN,
Alcoa, TN,Alcoa, TN,
Alcoa, TN,Alcoa, TN,
