County,City_State
SUFFOLK,"Holtsville, NY"
SUFFOLK,"Holtsville, NY"
ADJUNTAS,"Adjuntas, PR"
ADJUNTAS,"Adjuntas, PR"
ADJUNTAS,"Adjuntas, PR"
ADJUNTAS,"Adjuntas, PR"
AGUADA,"Aguada, PR"
AGUADA,"Aguada, PR"
AGUADA,"Aguada, PR"
AGUADA,"Aguada, PR"
AGUADA,"Aguada, PR"
AGUADA,"Aguada, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
AGUADILLA,"Aguadilla, PR"
MARICAO,"Maricao, PR"
MARICAO,"Maricao, PR"
ANASCO,"Anasco, PR"
ANASCO,"Anasco, PR"
ANASCO,"Anasco, PR"
ANASCO,"Anasco, PR"
ANASCO,"Anasco, PR"
ANASCO,"Anasco, PR"
