Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access
UK,London,F,13,R,164,12,100,2,Car,15,0,48,Swimming,802,353,216,776,1000,1000
UK,North East,F,11,L,154,23,144,1,Walk,25,0.29,40,Bowling,816,667,740,761,206,336
OZ,Tasmania,M,14,R,156,25,161,1,Bus,65,0.4,35,Bowling,719,611,563,671,31,37
UK,Home Counties,M,14,R,152,20,120,1,Bus,20,0.29,35,Football/Soccer,702,286,685,685,553,582
OZ,New South Wales,F,14,R,170,23,170,1,Bus,5,0.5,73,Netball,342,390,462,372,1000,1000
OZ,Western OZ,F,12,R,144,24,150,1,Car,2,0.39,49,Netball,533,1000,421,586,1000,462
NZ,Auckland,F,9,B,126,15,100,2,Car,5,0,0,Netball,1000,,750,,,
USA,WI,F,12,L,158,24,158,1,Car,3,0.411,34,Baseball/Softball,5,91,27,64,401,840
OZ,New South Wales,F,11,R,153,24,157,1,Car,8,0.43,37,Tennis,586,226,409,267,675,864
USA,NY,M,11,R,152,10,100,1,Bus,20,0.345,0,Football (American),12,43,5,6,9,7
USA,NJ,M,17,L,180,30,193,1,Car,12,0.39,62,Football (American),200,200,100,100,1000,1000
OZ,South OZ,M,13,R,160,28,160,1,Bus,15,0.42,53,Football/Soccer,734,604,551,787,539,563
USA,PA,F,12,L,165,19,173,1,Car,15,0.204,75,Skateboarding/Rollerblading,1000,1000,1000,1000,1000,1000
CA,Ontario,F,13,R,164,24,164,1,Walk,5,0.375,37,Swimming,545,540,444,556,342,342
USA,RI,M,14,R,165,26,165,1,Bus,20,0.252,37,Basketball,500,500,500,500,500,500
OZ,South OZ,F,13,R,168,22,167,1,Walk,10,0.37,39,Netball,1000,1000,1000,1000,740,758
NZ,Canterbury,M,14,L,160,25,120,1,Walk,25,0.331,0,None,750,,500,,,
USA,GU,F,13,R,149,23,151,1,Car,15,0.439,56,Baseball/Softball,500,1000,1000,1000,100,300
CA,Ontario,F,18,R,161,24,167,2,Car,10,0.412,61,Dancing,1000,316,1000,626,1000,1000
UK,South West,F,12,R,157,24,157,3,Car,7,0.37,32,Dancing,645,742,710,839,194,258
NZ,Northland,F,9,R,131,21,126,1,Bus,5,0,0,Football/Soccer,1000,,1000,,,
OZ,Queensland,F,12,R,152,24,155,1,Car,3,0.43,41,Skateboarding/Rollerblading,799,1000,846,929,781,852
OZ,South OZ,F,13,R,158,24,151,5,Walk,5,0.43,21,Golf,1000,1000,1000,1000,811,1000
OZ,Queensland,F,13,R,150,25,155,1,Car,5,0.39,31,Netball,397,616,852,486,793,888
OZ,South OZ,F,11,L,161,27,163,3,Walk,20,0.59,49,Running/Jogging,929,1000,1000,1000,248,101
NZ,Auckland,F,15,R,162,20,158,2,Car,5,0.484,0,Swimming,1000,,750,,,
OZ,Tasmania,M,13,R,161,25,158,1,Cycle,10,0.36,36,Cycling,1000,1000,1000,1000,635,713
UK,South,M,14,R,175,27,169,1,Car,20,0.36,38,Football/Soccer,358,998,595,433,998,1000
CA,Ontario,M,11,R,155,26,153,2,Bus,6,0.31,42,Basketball,1000,898,1000,1000,492,128
NZ,Auckland,F,10,R,145,22,146,1,Walk,15,0.469,0,Netball,500,,750,,,
OZ,New South Wales,F,13,R,160,29,150,1,Car,8,0.43,37,Other activities/sports,1000,1000,1000,1000,228,312
OZ,South OZ,F,16,R,172,24,170,1,Walk,30,0.37,31,Running/Jogging,799,308,568,143,178,237
USA,IN,M,17,R,181,28,177,2,Car,15,0.853,58,Football (American),500,760,1,873,1000,1000
CA,Ontario,M,13,R,168,26,174,1,Car,10,0.328,43,Walking/Hiking,834,503,652,733,856,759
NZ,Auckland,F,14,R,142,23,142,1,Walk,25,0.532,0,Football/Soccer,1000,,750,,,
OZ,Tasmania,M,11,B,157,25,158,2,Car,10,0.42,44,Basketball,970,834,746,645,734,704
USA,OH,F,12,R,163,24,161,1,Car,3,0.4,50,Swimming,700,900,1000,1000,200,300
NZ,Auckland,F,14,R,168,24,164,2,Walk,15,0.344,0,Other activities/sports,750,,0,,,
CA,Ontario,M,11,R,201,25,164,2,Walk,7,0.401,42,Other activities/sports,620,471,1000,1000,1000,1000
CA,Ontario,F,14,R,137,22,152,1,Walk,25,0.328,32,Dancing,979,984,984,968,845,914
OZ,Queensland,M,8,R,144,43,138,1,Car,4,0.39,49,Football/Soccer,616,320,799,273,433,681
OZ,Queensland,F,14,R,165,25,160,1,Bus,10,0.35,58,Netball,285,196,237,438,520,474
USA,SC,M,16,R,179,27,184,1,Car,15,0.837,42,Football (American),850,800,900,500,500,900
OZ,New South Wales,F,11,R,151,20,151,2,Car,2,0.37,41,Tennis,811,1000,1000,1000,190,178
OZ,Queensland,M,8,R,141,24,111,1,Car,5,0.39,61,Athletics,273,208,480,357,143,433
UK,South,F,13,R,149,22,96,2,Walk,10,0.42,35,Swimming,842,781,697,760,443,641
OZ,New South Wales,M,11,R,156,23,149,3,Walk,2,0.34,46,Football/Soccer,1000,740,580,657,125,125
OZ,New South Wales,M,10,R,130,20,170,1,Car,8,0.4,57,Cricket,433,610,450,332,,214
USA,KS,F,10,R,140,15,140,1,Walk,10,0,57,Basketball,100,100,100,100,100,100
NZ,Otago,M,14,R,169,35,169,1,Car,15,0.421,0,Rugby Union,1000,,1000,,,
OZ,OZn Capitol Territory,F,16,R,173,23,169,1,Walk,20,0.26,37,Rugby League,96,214,604,172,42,48
OZ,Tasmania,F,13,R,155,28,150,1,Car,15,0.5,32,Netball,533,527,580,829,539,462
UK,East,M,15,R,185,28,175,3,Car,5,0.46,45,Cricket,0,0,1000,1000,1000,500
NZ,Auckland,F,13,R,157,21,169,1,Walk,15,1.559,0,Basketball,750,,750,,,
CA,Ontario,M,12,R,145,24,150,2,Walk,15,0.469,37,Football/Soccer,1000,1000,1000,1000,508,460
USA,NC,F,15,R,154,23,154,2,Bus,15,0.844,28,Football/Soccer,880,845,925,909,893,1000
CA,Ontario,M,14,R,178,27,181,1,Bus,40,0.344,42,Gymnastics,1000,1000,1000,1000,1000,1000
OZ,Western OZ,F,10,R,160,24,184,1,Car,4,0.43,59,Swimming,1000,1000,1000,1000,503,509
OZ,Western OZ,M,14,R,161,30,161,1,Car,15,0.37,36,Hockey (Field),167,184,397,598,1000,1000
NZ,Waikato,F,16,R,155,22,140,3,Bus,45,0.439,0,Other activities/sports,250,,250,,,
OZ,Western OZ,F,11,R,160,25,159,1,Car,5,0.38,35,Netball,693,1000,651,710,1,131
OZ,Western OZ,M,12,L,157,27,151,1,Walk,3,0.37,40,Baseball/Softball,438,468,486,362,929,1000
OZ,New South Wales,M,10,B,133,22,126,1,Car,4,0.39,95,Tennis,1000,634,846,740,468,628
UK,North West,F,13,R,153,21,153,1,Bus,15,0.56,61,Dancing,772,689,751,786,508,500
CA,Quebec,F,13,R,159,23,159,3,Bus,30,0.313,43,Basketball,930,679,455,807,909,444
OZ,New South Wales,M,14,R,172,26,175,1,Bus,40,0.23,40,Football/Soccer,1000,767,761,982,605,665
USA,OH,F,11,R,160,25,161,1,Car,20,0,0,Gymnastics,1000,1000,150,,0,0
