player_name,player_id,season,poss,mp,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Darrell Armstrong,armstda01,1995,16,8,21.4431302,3.28293849,24.72606869,0.118804023,0.118804023,0,23.11671555,5.782659735,28.89937528,5.583071435
Anthony Brown,brownan02,2018,11,4,18.71561763,2.426714848,21.14233248,0.049560381,0.049560381,0,14.29247502,-1.883669936,12.40880508,1.629371903
Jackie Butler,butleja01,2005,10,5,19.06311606,4.314955897,23.37807196,0.066991952,0.066991952,0,18.82251275,2.366742117,21.18925486,0.468418578
Tyler Davis,davisty01,2019,2,1,-40.82592091,61.11388186,20.28796095,0.01142252,0.01142252,0,-26.93530508,42.98906324,16.05375815,-2.873834033
Chad Gallagher,gallach01,1994,6,3,32.24580966,-3.28377142,28.96203824,0.052117962,0.052117962,0,28.37050997,2.807556732,31.1780667,7.097254444
Steven Hill,hillst01,2009,4,2,33.082161,-0.398374648,32.68378635,0.033471401,0.033471401,0,29.76672455,-2.598151911,27.16857264,-6.892145947
Cedric Lewis,lewisce01,1996,8,4,22.26732446,15.50959978,37.77692424,0.080680432,0.080680432,0,22.61725873,13.94671071,36.56396944,-2.277618696
DeAndre Liggins,liggide01,2014,3,1,53.2288638,-28.54854308,24.68032072,0.014008192,0.014008192,0,42.89028068,-22.27338345,20.61689723,0.090756363
Ian Lockhart,lockhia01,1991,4,2,38.20349749,-3.40653748,34.79696001,0.037291819,0.037291819,0,33.50413071,-5.329212481,28.17491823,-2.641788469
Tahjere McCall,mccalta01,2019,20,8,-2.355724798,25.29493989,22.93921509,0.108007988,0.108007988,0,-5.400625794,20.12253971,14.72191392,3.066438804
Cozell McQueen,mcqueco01,1987,15,7,21.52170874,6.02587804,27.54758678,0.105718524,0.105718524,0,19.25786137,4.070469556,23.32833093,-2.344185157
Naz Mitrou-Long,mitrona01,2018,3,1,53.03325444,19.58910608,72.62236053,0.040786567,0.040786567,0,40.16996685,8.9361992,49.10616605,6.014440868
Tyler Ulis,ulisty01,2019,2,1,-16.80147286,62.46920451,45.66773165,0.023867965,0.023867965,0,-15.00184709,41.70460184,26.70275475,-3.443888738
Tyson Wheeler,wheelty01,1999,6,3,35.6340155,-5.394446935,30.23956856,0.050125557,0.050125557,0,32.05384417,-2.787477605,29.26636656,-0.656393245
Alan Williams,willial03,2019,60,26,8.388823854,12.08622974,20.4750536,0.308987804,0.308987804,0,8.828079108,6.118116482,14.94619559,0.298650805
