"","Code","country","century","decade","year","height.cm","year_decade","height.in"
"1",56,"Belgium","18","1","0",163.1,"1810",64.2125984251968
"2",280,"Federal Republic of Germany (until 1990)","18","1","0",167.8,"1810",66.0629921259843
"3",250,"France","18","1","0",163.9,"1810",64.5275590551181
"4",276,"Germany","18","1","0",167.8,"1810",66.0629921259843
"5",528,"Netherlands","18","1","0",166,"1810",65.3543307086614
"6",246,"Finland","18","1","0",171.9,"1810",67.6771653543307
"7",372,"Ireland","18","1","0",168,"1810",66.1417322834646
"8",578,"Norway","18","1","0",168.6,"1810",66.3779527559055
"9",826,"United Kingdom of Great Britain and Northern Ireland","18","1","0",169.7,"1810",66.8110236220472
"10",191,"Croatia","18","1","0",163.2,"1810",64.251968503937
"11",380,"Italy","18","1","0",164.1,"1810",64.6062992125984
"12",620,"Portugal","18","1","0",165.493,"1810",65.1547244094488
"13",203,"Czech Republic","18","1","0",164,"1810",64.5669291338583
"14",348,"Hungary","18","1","0",164.7,"1810",64.8425196850394
"15",643,"Russian Federation","18","1","0",159.8,"1810",62.9133858267717
"16",124,"Canada","18","1","0",171.5,"1810",67.5196850393701
"17",484,"Mexico","18","1","0",161.26,"1810",63.4881889763779
"18",32,"Argentina","18","1","0",168.8,"1810",66.4566929133858
"19",76,"Brazil","18","1","0",164.3,"1810",64.6850393700787
"20",604,"Peru","18","1","0",163.4,"1810",64.3307086614173
"21",156,"China","18","1","0",165.7,"1810",65.2362204724409
"22",360,"Indonesia","18","1","0",161.277,"1810",63.4948818897638
"23",204,"Benin","18","1","0",164.9,"1810",64.9212598425197
"24",854,"Burkina Faso","18","1","0",166.29,"1810",65.4685039370079
"25",384,"Cote d'Ivoire","18","1","0",165.1,"1810",65
"26",288,"Ghana","18","1","0",164.1,"1810",64.6062992125984
"27",624,"Guinea-Bissau","18","1","0",165.4,"1810",65.1181102362205
"28",566,"Nigeria","18","1","0",165.2,"1810",65.0393700787401
"29",686,"Senegal","18","1","0",165.4,"1810",65.1181102362205
"30",694,"Sierra Leone","18","1","0",164.682,"1810",64.8354330708661
"31",24,"Angola","18","1","0",160.5,"1810",63.1889763779528
"32",120,"Cameroon","18","1","0",165.9,"1810",65.3149606299213
"33",178,"Congo","18","1","0",163.3,"1810",64.2913385826772
"34",180,"Democratic Republic of the Congo","18","1","0",163.3,"1810",64.2913385826772
"35",266,"Gabon","18","1","0",165.4,"1810",65.1181102362205
"36",508,"Mozambique","18","1","0",164.1,"1810",64.6062992125984
"37",40,"Austria","18","2","0",163.7,"1820",64.4488188976378
"38",56,"Belgium","18","2","0",163.7,"1820",64.4488188976378
"39",280,"Federal Republic of Germany (until 1990)","18","2","0",167.3,"1820",65.8661417322835
"40",250,"France","18","2","0",163.9,"1820",64.5275590551181
"41",276,"Germany","18","2","0",167.3,"1820",65.8661417322835
"42",528,"Netherlands","18","2","0",165.1,"1820",65
"43",756,"Switzerland","18","2","0",167.6,"1820",65.9842519685039
"44",208,"Denmark","18","2","0",166.95,"1820",65.7283464566929
