City,Abbr.,County,Alias_Abbr
Apo,AE,,"Apo, AE"
DPO,AE,,"Dpo, AE"
FPO,AE,,"Fpo, AE"
Anchorage,AK,ANCHORAGE,"Anchorage, AK"
Jber,AK,ANCHORAGE,"Ft Richardson, AK"
Jber,AK,ANCHORAGE,"Fort Richardson, AK"
Jber,AK,ANCHORAGE,"Anch, AK"
JBER,AK,ANCHORAGE,"Jber, AK"
Jber,AK,ANCHORAGE,"Elmendorf AFB, AK"
Indian,AK,ANCHORAGE,"Indian, AK"
Kongiganak,AK,BETHEL,"Kongiganak, AK"
Adak,AK,ALEUTIANS WEST,"Adak, AK"
Atka,AK,ALEUTIANS WEST,"Atka, AK"
Chignik Lake,AK,LAKE AND PENINSULA,"Chignik Lake, AK"
Chignik,AK,LAKE AND PENINSULA,"Chignik, AK"
King Salmon,AK,BRISTOL BAY,"King Salmon, AK"
Port Heiden,AK,LAKE AND PENINSULA,"Port Heiden, AK"
Port Lions,AK,KODIAK ISLAND,"Port Lions, AK"
Akiachak,AK,BETHEL,"Akiachak, AK"
Akiak,AK,BETHEL,"Akiak, AK"
Akutan,AK,ALEUTIANS EAST,"Akutan, AK"
Alakanuk,AK,WADE HAMPTON,"Alakanuk, AK"
Aleknagik,AK,DILLINGHAM,"Aleknagik, AK"
Anchor Point,AK,KENAI PENINSULA,"Anchor Point, AK"
Anchor Point,AK,KENAI PENINSULA,"Nikolaevsk, AK"
Aniak,AK,BETHEL,"Chuathbaluk, AK"
Aniak,AK,BETHEL,"Stony River, AK"
Aniak,AK,BETHEL,"Aniak, AK"
Anvik,AK,YUKON KOYUKUK,"Anvik, AK"
Bethel,AK,BETHEL,"Newtok, AK"
Bethel,AK,BETHEL,"Bethel, AK"
Bethel,AK,BETHEL,"Napaskiak, AK"
Bethel,AK,BETHEL,"Atmautluak, AK"
Chefornak,AK,BETHEL,"Chefornak, AK"
Chevak,AK,WADE HAMPTON,"Chevak, AK"
Chignik Lagoon,AK,LAKE AND PENINSULA,"Chignik Lagoon, AK"
Chignik Lagoon,AK,LAKE AND PENINSULA,"Chignik Lagn, AK"
