unitid,year,fips,race,sex,completers
108232,2014,6,7,1,6
108232,2014,6,7,2,10
108232,2014,6,5,99,14
108232,2014,6,4,1,108
108232,2014,6,4,2,125
108232,2014,6,2,99,104
108232,2014,6,3,1,66
108232,2014,6,3,2,95
108232,2014,6,6,99,5
108232,2014,6,8,1,417
108232,2014,6,8,2,636
108232,2014,6,99,99,2767
108232,2014,6,9,1,264
108232,2014,6,9,2,351
108232,2014,6,1,99,566
108232,2015,6,7,99,23
108232,2015,6,5,1,3
108232,2015,6,5,2,1
108232,2015,6,4,99,197
108232,2015,6,2,1,46
108232,2015,6,2,2,59
108232,2015,6,3,99,155
108232,2015,6,6,1,2
108232,2015,6,6,2,5
108232,2015,6,8,99,1032
108232,2015,6,99,1,969
108232,2015,6,99,2,1457
108232,2015,6,9,99,407
108232,2015,6,1,1,190
108232,2015,6,1,2,306
108250,2014,6,7,1,9
108250,2014,6,7,2,4
108250,2014,6,5,99,3
108250,2014,6,4,1,8
108250,2014,6,4,2,4
108250,2014,6,2,99,26
108250,2014,6,3,1,9
108250,2014,6,3,2,3
108250,2014,6,6,99,0
108250,2014,6,8,1,0
108250,2014,6,8,2,0
108250,2014,6,99,99,205
108250,2014,6,9,1,22
108250,2014,6,9,2,12
108250,2014,6,1,99,105
108269,2014,6,7,1,0
108269,2014,6,7,2,0
108269,2014,6,5,99,0
108269,2014,6,4,1,1
108269,2014,6,4,2,2
108269,2014,6,2,99,0
108269,2014,6,3,1,1
108269,2014,6,3,2,1
108269,2014,6,6,99,0
108269,2014,6,8,1,1
108269,2014,6,8,2,0
108269,2014,6,99,99,15
108269,2014,6,9,1,0
108269,2014,6,9,2,0
108269,2014,6,1,99,9
108269,2015,6,7,99,0
108269,2015,6,5,1,0
108269,2015,6,5,2,0
108269,2015,6,4,99,10
108269,2015,6,2,1,0
108269,2015,6,2,2,0
108269,2015,6,3,99,0
108269,2015,6,6,1,1
108269,2015,6,6,2,0
108269,2015,6,8,99,0
108269,2015,6,99,1,8
108269,2015,6,99,2,16
108269,2015,6,9,99,0
108269,2015,6,1,1,6
108269,2015,6,1,2,7
108348,2014,6,7,1,0
108348,2014,6,7,2,0
108348,2014,6,5,99,0
108348,2014,6,4,1,0
108348,2014,6,4,2,0
108348,2014,6,2,99,8
108348,2014,6,3,1,2
108348,2014,6,3,2,5
108348,2014,6,6,99,0
108348,2014,6,8,1,0
108348,2014,6,8,2,0
108348,2014,6,99,99,19
108348,2014,6,9,1,0
108348,2014,6,9,2,0
108348,2014,6,1,99,4
108348,2015,6,7,99,0
108348,2015,6,5,1,0
108348,2015,6,5,2,0
108348,2015,6,4,99,1
108348,2015,6,2,1,4
108348,2015,6,2,2,3
108348,2015,6,3,99,7
108348,2015,6,6,1,0
108348,2015,6,6,2,0
108348,2015,6,8,99,0
108348,2015,6,99,1,12
108348,2015,6,99,2,9
108348,2015,6,9,99,0
108348,2015,6,1,1,4
108348,2015,6,1,2,2
108649,2014,6,7,1,0
108649,2014,6,7,2,7
108649,2014,6,5,99,2
108649,2014,6,4,1,0
108649,2014,6,4,2,7
108649,2014,6,2,99,48
108649,2014,6,3,1,1
108649,2014,6,3,2,23
108649,2014,6,6,99,0
108649,2014,6,8,1,0
108649,2014,6,8,2,0
108649,2014,6,99,99,103
108649,2014,6,9,1,0
108649,2014,6,9,2,5
108649,2014,6,1,99,10
108649,2015,6,7,99,3
108649,2015,6,5,1,0
108649,2015,6,5,2,0
108649,2015,6,4,99,10
108649,2015,6,2,1,0
108649,2015,6,2,2,32
108649,2015,6,3,99,16
108649,2015,6,6,1,0
108649,2015,6,6,2,0
108649,2015,6,8,99,0
108649,2015,6,99,1,1
108649,2015,6,99,2,82
108649,2015,6,9,99,6
108649,2015,6,1,1,0
108649,2015,6,1,2,16
108667,2014,6,7,1,4
108667,2014,6,7,2,9
108667,2014,6,5,99,2
108667,2014,6,4,1,67
108667,2014,6,4,2,77
108667,2014,6,2,99,51
108667,2014,6,3,1,42
108667,2014,6,3,2,24
108667,2014,6,6,99,3
108667,2014,6,8,1,5
108667,2014,6,8,2,4
108667,2014,6,99,99,366
108667,2014,6,9,1,15
108667,2014,6,9,2,20
108667,2014,6,1,99,43
108667,2015,6,7,99,13
108667,2015,6,5,1,0
108667,2015,6,5,2,0
