BirthPlace
"Aberdeen, Aberdeen"
"Aberdeen, MA"
"Aberdeen, Scotland"
"Abington, VA"
"Abner, TX"
"Accra, Ghana"
"Adams City, IN"
"Adams, PA"
"Adelaide, Australia"
"Adelaide, Australia"
"Adelaide, Australia"
"Adrian, NM"
"Agnew, CA"
"Ahvaz, Islamic Republic of Iran"
"Aibonito, NA"
AL
AL
"Alamaeda County, CA"
"Alamance County, NC"
"Alameda County, CA"
"Alameda County, CA"
"Alameda County, CA"
"Albermarle, NC"
"Albo, NE"
"Albonito, Puerto Rico"
"Alburgu, Mexico"
"Alexandria, Egypt"
"Allegheny City, PA"
"Alton, RI"
"Amarousio, Greece"
"Amsterdam, Netherlands"
"Amsterdam, North Holland"
"Anabella, UT"
"Anambra, Nigeria"
"Anambra, Nigeria"
"Ancon, Panama Canal Zone"
"Andarko, OK"
"Angram, Austria"
"Anniston, CA"
"Anola, MB"
"Antratsit, Ukraine"
"Apatin, Serbia"
"Apia, Western Samoa"
"Appanoose County, IA"
AR
AR
AR
"AR City, KS"
"Arbroath, Scotland"
"Arcadia, MD"
"Arecibo, NA"
"Arecibo, NA"
"Argenta, AL"
"Ark City, KS"
"Ark City, KS"
"Armstrong County, TX"
"Armstrong, IN"
"Arnold City, PA"
"Arroyo, NA"
"Aschaffenburg, Germany"
"Aschaffenburg, Germany"
"Ashoskie, NC"
"Ashton, RI"
"Ashton, RI"
"Asuncion, Paraguay"
"Athens, Greece"
"Athens, Greece"
"Athens, Greece"
"Athens, Greece"
"Athens, Greece"
"Athens, Greece"
"Athlone, NC"
"Atlanta, AR"
"Auckland, New Zealand"
"Auckland, New Zealand"
"Auckland, New Zealand"
"Auckland, NZ"
"Augsburg, Germany"
"Augsburg, Germany"
"Augsburg, Germany"
"Augsburg, Germany"
"Austin, TN"
"Avellino, Italy"
"Aviles, Spain"
"Aviles, Spain"
"AZ, LA"
"Azua, Azua"
"Azua, Azua"
"Bad Kissingen, Bavaria"
"Bad Kreuznach, Germany"
"Bad Kreuznach, Rhineland-Palatinate"
"Baggaley, PA"
"Bahia Blanca, Argentina"
"Bahia Blanca, Argentina"
"Bainbridge, CT"
"Balcolm, IL"
"Balitmore, MD"
"Banff, Canada"
"Bangkok, Thailand"
"Bar, Montenegro"
"Barahona, Barahona"
"Barbour County, AL"
"Barcelona, Spain"
"Barcelona, Spain"
"Barkerville, BC"
"Barrackville, West VA"
