stadium,city,state,College,conference,capacity,built,expanded,div,latitude,longitude
Bryant-Denny Stadium,Tuscaloosa,AL,University of Alabama,SEC,101821,1929,2010,fbs,33.20748994,-87.55039215
Jordan-Hare Stadium,Auburn,AL,Auburn University,SEC,87451,1939,2004,fbs,32.60236167,-85.48891068
Ladd Peebles Stadium,Mobile,AL,University of South Alabama,Sun Belt,33500,1948,2009,fbs,30.67423899,-88.07563305
Veterans Memorial Stadium,Troy,AL,Troy University,Sun Belt,30000,1950,2003,fbs,31.79952742,-85.95217692
Louis Crews Stadium,Huntsville,Alabama,Alabama A&M University,SWAC,21000,1996,,fcs,34.78321453,-86.57930374
Hornet Stadium,Montgomery,Alabama,Alabama State University,SWAC,26500,2012,,fcs,32.38068597,-86.31141569
JSU Stadium,Jacksonville,Alabama,Jacksonville State University,Ohio Valley,24000,1947,2010,fcs,33.82031031,-85.76646566
Seibert Stadium,Homewood,Alabama,Samford University,Southern,6700,1958,,fcs,33.463425,-86.7952702
Donald W. Reynolds Razorback Stadium,Fayetteville,AR,University of Arkansas,SEC,72000,1938,2006,fbs,36.06785079,-94.17879581
Centennial Bank Stadium,Jonesboro,Arizona,Arizona State University,Sun Belt,30964,1974,2002,fbs,35.8489901,-90.66769494
Walkup Skydome,Flagstaff,Arizona,Northern Arizona University,Big Sky,15300,1977,,fcs,35.18040297,-111.6530228
Golden Lion Stadium,Pine Bluff,Arkansas,University of Arkansas at Pine Bluff,SWAC,16000,2000,,fcs,34.25284339,-92.02177807
Estes Stadium,Conway,Arkansas,University of Central Arkansas,Southland,9000,1939,2012,fcs,35.08030322,-92.46012211
Arizona Stadium,Tucson,AZ,University of Arizona,Pac-12,51811,1928,1988,fbs,32.22834023,-110.9490395
Sun Devil Stadium Frank Kush Field,Tempe,AZ,Arizona State University,Pac-12,71706,1958,1998,fbs,33.426364,-111.932616
California Memorial Stadium,Berkeley,CA,University of California-Berkeley,Pac-12,62717,1923,2012,fbs,37.8706866,-122.2507095
Bulldog Stadium,Fresno,CA,Fresno State University,Mountain West,41031,1980,1992,fbs,36.8143197,-119.7581016
Qualcomm Stadium,San Diego,CA,San Diego State University,Mountain West,70561,1967,1997,fbs,32.78305326,-117.1196008
Spartan Stadium,San Jose,CA,San Jose State University,Mountain West,30456,1933,1985,fbs,37.32010519,-121.8681161
Los Angeles Memorial Coliseum,Los Angeles,CA,University of Southern California,Pac-12,93607,1923,2008,fbs,34.01400974,-118.2878959
Stanford Stadium,Stanford,CA,Stanford University,Pac-12,50000,2006,,fbs,37.43472641,-122.1610165
Rose Bowl,Pasadena,CA,University of California-Los Angeles,Pac-12,92542,1921,1949,fbs,34.16156959,-118.1676149
Alex G. Spanos Stadium,San Luis Obispo,California,California Polytechnic State University,Big Sky,11075,2006,,fcs,35.29851683,-120.6651142
Hornet Stadium,Sacramento,California,Sacramento State University,Big Sky,21195,1969,1992,fcs,38.55520501,-121.4221323
Torero Stadium,San Diego,California,University of San Diego,Pioneer,6000,1961,,fcs,32.7734961,-117.1837979
Aggie Stadium,Davis,California,University of California-Davis,Big Sky,10849,2007,,fcs,38.53663546,-121.76332
Falcon Stadium,Colorado Springs,CO,Air Force Academy,Mountain West,46692,1962,,fbs,38.99690743,-104.843688
Folsom Field,Boulder,CO,University of Colorado,Pac-12,50183,1924,2003,fbs,40.00939837,-105.2668869
Sonny Lubick Field at Hughes Stadium,Fort Collins,CO,Colorado State University,Mountain West,34400,1968,2006,fbs,40.56174245,-105.1398437
Nottingham Field,Greeley,Colorado,University of Northern Colorado,Big Sky,8533,1995,,fcs,40.40334966,-104.7051895
Arute Field,New Britain,Connecticut,Central Connecticut State University,Northeast,3500,1969,,fcs,41.69513675,-72.76143216
Campus Field,Fairfield,Connecticut,Sacred Heart University,Northeast,4000,1993,,fcs,41.21945018,-73.2456173
Yale Bowl,New Haven,Connecticut,Yale University,Ivy,61446,1914,,fcs,41.31212512,-72.96022912
Rentschler Field,East Hartford,CT,University of Connecticut,American,40000,2003,,fbs,41.75988428,-72.61894226
William H. Greene Stadium,Washington,D.C.,Howard University,MEAC,10000,1986,,fcs,38.92567088,-77.02124121
Delaware Stadium,Newark,Delaware,University of Delaware,CAA,22000,1952,,fcs,39.66170402,-75.74883012
Alumni Stadium,Dover,Delaware,Delaware State University,MEAC,7000,1980,,fcs,39.18882601,-75.54349422
FIU Stadium,Miami,FL,Florida International University,C-USA,23500,1995,2012,fbs,25.75249279,-80.37786484
Ben Hill Griffin Stadium,Gainesville,FL,University of Florida,SEC,88548,1930,2003,fbs,29.64986868,-82.34866619
FAU Stadium,Boca Raton,FL,Florida Atlantic University,C-USA,30000,2011,,fbs,26.37545356,-80.10168314
Bobby Bowden Field at Doak Campbell Stadium,Tallahassee,FL,Florida State University,ACC,82300,1950,2003,fbs,30.43754758,-84.30453398
Sun Life Stadium,Miami Gardens,FL,Miami University,ACC,65326,1987,2016,fbs,25.95793374,-80.23884058
Bright House Networks Stadium,Orlando,FL,University of Central Florida,American,45323,2007,,fbs,28.60795886,-81.19299889
Raymond James Stadium,Tampa,FL,University of South Florida,American,65857,1998,,fbs,27.97599447,-82.50334918
Municipal Stadium,Daytona Beach,Florida,Bethune-Cookman College,MEAC,10000,1979,,fcs,29.17307511,-81.1177679
Bragg Memorial Stadium,Tallahassee,Florida,Florida A&M University,MEAC,25500,1957,,fcs,30.42613695,-84.29142797
D. B. Milne Field,Jacksonville,Florida,Jacksonville University,Pioneer,5000,1998,,fcs,30.35647965,-81.60585337
Spec Martin Municipal Stadium,DeLand,Florida,Stetson University,Pioneer,6000,1941,,fcs,29.01950783,-81.30031862
Sanford Stadium,Athens,GA,University of Georgia,SEC,92746,1929,2004,fbs,33.94982149,-83.3734417
Paulson Stadium,Statesboro,GA,Georgia Southern University,Sun Belt,24300,1984,2014,fbs,32.41221168,-81.7831707
Georgia Dome,Atlanta,GA,Georgia State University,Sun Belt,28155,1992,,fbs,33.75761738,-84.40106034
Bobby Dodd Stadium at Historic Grant Field,Atlanta,GA,Georgia Tech University,ACC,55000,1913,2003,fbs,33.77255692,-84.39285278
Fifth Third Bank Stadium,Kennesaw,Georgia,Kennesaw State University,Big South,8318,2010,,fcs,34.0234337,-84.6154897
Moye Complex,Macon,Georgia,Mercer University,Southern,10200,2013,,fcs,32.834263,-83.626851
Ted Wright Stadium,Savannah,Georgia,Savannah State University,MEAC,7500,1967,,fcs,32.02727816,-81.06926968
Aloha Stadium,Honolulu,HI,University of Hawaii,Mountain West,50000,1975,2003,fbs,21.37278299,-157.9299688
Kinnick Stadium,Iowa City,IA,University of Iowa,Big Ten,70585,1929,2006,fbs,41.65838894,-91.55147552
Jack Trice Stadium,Ames,IA,Iowa State University,Big 12,61500,1975,2015,fbs,42.01400541,-93.63580942
Albertsons Stadium,Boise,ID,Boise State University,Mountain West,37000,1970,2012,fbs,43.60270805,-116.1959124
Kibbie Dome,Moscow,ID,University of Idaho,Sun Belt,16000,1975,,fbs,46.72634961,-117.0175519
Holt Arena,Pocatello,Idaho,Idaho State University,Big Sky,12000,1970,,fcs,42.87003557,-112.4285245
Memorial Stadium,Champaign,IL,University of Illinois,Big Ten,60670,1923,2011,fbs,40.09930573,-88.23598623
Huskie Stadium,DeKalb,IL,Northern Illinois University,MAC,25500,1965,1995,fbs,41.934014,-88.778222
Ryan Field,Evanston,IL,Northwestern University,Big Ten,47130,1926,1997,fbs,42.06539967,-87.69249558
O'Brien Stadium,Charleston,Illinois,Eastern Illinois University,Ohio Valley,10000,1970,1999,fcs,39.48059302,-88.18116188
Hancock Stadium,Normal,Illinois,Illinois State University,Missouri Valley,15000,1963,,fcs,40.51200468,-88.99625301
Saluki Stadium,Carbondale,Illinois,Southern Illinois University,Missouri Valley,15276,2010,,fcs,37.70849956,-89.21695785
Hanson Field,Macomb,Illinois,Western Illinois University,Missouri Valley,16368,1950,2007,fcs,40.46839235,-90.68415642
Scheumann Stadium,Muncie,IN,Ball State University,MAC,22500,1967,2007,fbs,40.21602764,-85.41769962
Memorial Stadium,Bloomington,IN,Indiana University,Big Ten,52959,1960,2010,fbs,39.18090913,-86.52557373
Notre Dame Stadium,Notre Dame,IN,University of Notre Dame,Independent,80795,1930,1997,fbs,41.69842312,-86.23382449
Ross-Ade Stadium,West Lafayette,IN,Purdue University,Big Ten,56400,1924,2006,fbs,40.434323,-86.918485
Butler Bowl,Indianapolis,Indiana,Butler University,Pioneer,5500,1928,2010 ,fcs,39.84429757,-86.16624191
