BirthPlace
"Aberdeen, Aberdeen"
"Aberdeen, WA"
"Aberdeen, Scotland"
"Abington, PA"
"Avinger, TX"
"Accra, Ghana"
"Gas City, IN"
"Adams, MA"
"Adelaide, Australia"
"Adelaide, Australia"
"Adelaide, Australia"
"Adrian, MO"
"Agnew, CA"
"Ahvaz, Islamic Republic of Iran"
"Aibonito, PR"
AL
AL
"Alamaeda County, CA"
"Alamance County, NC"
"Alameda County, CA"
"Alameda County, CA"
"Alameda County, CA"
"Albemarle, NC"
"Albion, NE"
"Albonito, Puerto Rico"
"Alburgu, Mexico"
"Alexandria, NE"
"Allegheny City, PA"
"Alton, IL"
"Amarousio, Greece"
"Amsterdam, Netherlands"
"Amsterdam, North Holland"
"Annabella, UT"
"Anambra, Nigeria"
"Anambra, Nigeria"
"Ancon, Panama Canal Zone"
"Anadarko, OK"
"Angram, Austria"
"Anniston, AL"
"Anola, MB"
"Antratsit, Ukraine"
"Apatin, Serbia"
"Apia, Western Samoa"
"Appanoose County, IA"
AR
AR
AR
"AR City, KS"
"Arbroath, Scotland"
"Arcadia, MO"
"Arecibo, PR"
"Arecibo, PR"
"Argenta, IL"
"Elk City, KS"
"Elk City, KS"
"Armstrong County, TX"
"Armstrong, IL"
"Arnold City, PA"
"Arroyo, PR"
"Aschaffenburg, Germany"
"Aschaffenburg, Germany"
"Ahoskie, NC"
"Ashton, IL"
"Ashton, IL"
"Asuncion, Paraguay"
"Athens, Greece"
"Athens, Greece"
"Athens, Greece"
"Athens, Greece"
"Athens, Greece"
"Athens, Greece"
"Athlone, NC"
"Atlanta, LA"
"Auckland, New Zealand"
"Auckland, New Zealand"
"Auckland, New Zealand"
"Auckland, NZ"
"Augsburg, Germany"
"Augsburg, Germany"
"Augsburg, Germany"
"Augsburg, Germany"
"Austin, TX"
"Avellino, Italy"
"Aviles, Spain"
"Aviles, Spain"
"AZ, LA"
"Azua, Azua"
"Azua, Azua"
"Bad Kissingen, Bavaria"
"Bad Kreuznach, Germany"
"Bad Kreuznach, Rhineland-Palatinate"
"Bagley, IA"
"Bahia Blanca, Argentina"
"Bahia Blanca, Argentina"
"Bainbridge, PA"
"Malcolm, AL"
"Baltimore, MD"
"Banff, Canada"
"Bangkok, Thailand"
"Bar, Montenegro"
"Barahona, Barahona"
"Barbour County, AL"
"Barcelona, Spain"
"Barcelona, Spain"
"Bakersville, NC"
"Barrackville, WV"
"Barranquilla, Colombia"
"Bassano del Grappa, Italy"
"Bath Township, OH"
"Bath, Canada"
"Baumhaulder, Germany"
"Bay Bulls, Canada"
"Bay Minette, AL"
"Bay Saint Louis, MS"
"Bayamon, PR"
"Bayamon, PR"
"Beano, Italy"
"Beaver Dam, WI"
"Beckham, OK"
"Beckley, WV"
"Belton, TX"
"Bedford, Bedfordshire"
"Medford, OR"
"Bee County, TX"
"Beijing, China"
"Beijing, China"
"Beirut, Lebanon"
"Beirut, Lebanon"
"Beirut, Lebanon"
"Belfast, Belfast"
"Belgorod, Russia"
"Belgrade, Serbia"
"Belgrade, Serbia"
"Belgrade, Serbia"
"Belgrade, Serbia"
"Belgrade, Serbia"
"Belgrade, Serbia"
"Belgrade, Serbia"
"Belgrade, Serbia"
"Belgrade, Serbia"
"Belgrade, Yugoslavia"
"Old Station, CA"
"Belle Chasse, LA"
"Belle Chasse, LA"
"Belle Glade, FL"
"Belle, West VA"
"Belleville, IL"
"Bellflower, CA"
"Belhaven, NC"
"Bellshill, Scotland"
"Zellwood, FL"
"Belmont County, OH"
"Delmont, PA"
"Belo Horizonte, Brazil"
"BenCity, Nigeria"
"Benin City, Nigeria"
"Bennett, NC"
"Bentonia, MS"
"Bergisch Gladbach, Germany"
"Brill, WI"
"Berkley, West VA"
"Berlin, Germany"
"Berlin, Germany"
"Berlin, Germany"
"Berlin, Germany"
"Berlin, Germany"
"Berlin, Germany"
"Bexar County, TX"
"Bexar County, TX"
"Bexar County, TX"
"Biarritz, France"
"Big Wells, TX"
"Bihac, Bosnia and Herzegovina"
"Bijelo Polje, Montenegro"
"Bijelo Polje, Montenegro"
"Biltmore, NC"
"Birmingham, England"
"Birmingham, England"
"Birmingham, OH"
"Birthright, TX"
"Bitburg AFB, Germany"
"Bitburg, Germany"
"Blockwood, Wales"
"Blockton, IA"
"Blue Island, IL"
"Bluefields, Atlantico Sur"
"Bluefields, Atlantico Sur"
"Blytheville, AR"
"Boardman, OR"
"Bogota, Colombia"
"Bohemia, Czech Republic"
"Boiling Springs, NC"
"Bologna, Italy"
"Booneville, MS"
"Bordeaux, France"
"Bosanska Gradiska, Bosnia and Herzegovina"
"Boston, MA"
"Bougouni, Mali"
"Bowdon, GA"
"Bowie County, TX"
"Bowie County, TX"
"Bradenton, FL"
"Braeholm, WV"
"Braintree, England"
"Drakes Branch, VA"
"Brampton, Canada"
"Brantford, Canada"
"Brasilia, Brazil"
"Braunschweig, Germany"
"Brawley, CA"
"Brazoria County, TX"
"Brazos County, TX"
"Brazzaville, Republic of the Congo"
"Breathitt County, KY"
"Bremermhaven, Germany"
"Breaux Bridge, LA"
"Briscoe, TX"
"Brimfield, MA"
"Brisbane, Australia"
"Britton, SD"
"Broccastella, Italy"
"Brockton, MT"
"Brookville, OH"
"Brodhead, WI"
"Brookhaven, PA"
"Brookside, NJ"
"Broughton, IL"
"Broward County, FL"
"Brown City, MI"
"Bruca, Italy"
"Bruges, Belgium"
"Budapest, Hungary"
"Budapest, Hungary"
"Budapest, Hungary"
"Buenos Aires, Argentina"
"Buenos Aires, Argentina"
"Buenos Aires, Argentina"
"Buenos Aires, Argentina"
"Buenos Aires, Argentina"
"Buenos Aires, Argentina"
"Buenos Aires, Argentina"
"Beaufort, SC"
"Buncombe County, NC"
"Bureau, IL"
"Burkam, Austria"
